法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
法律,昭和四十六年法律第九十号,自動車重量譲与税法,じどうしゃじゅうりょうじょうよぜいほう,,昭和四十六年五月三十一日,地方税法等の一部を改正する法律,平成三十一年法律第二号,平成三十一年三月二十九日,令和四年四月一日,,346AC0000000090,https://elaws.e-gov.go.jp/document?lawid=346AC0000000090_20220401_431AC0000000002,○,
法律,昭和四十六年法律第九十号,自動車重量譲与税法,じどうしゃじゅうりょうじょうよぜいほう,,昭和四十六年五月三十一日,地方税法等の一部を改正する法律,平成三十一年法律第二号,平成三十一年三月二十九日,令和十六年四月一日,,346AC0000000090,https://elaws.e-gov.go.jp/document?lawid=346AC0000000090_20340401_431AC0000000002,○,
法律,昭和四十六年法律第九十号,自動車重量譲与税法,じどうしゃじゅうりょうじょうよぜいほう,,昭和四十六年五月三十一日,地方税法等の一部を改正する法律,平成三十一年法律第二号,平成三十一年三月二十九日,令和十七年四月一日,,346AC0000000090,https://elaws.e-gov.go.jp/document?lawid=346AC0000000090_20350401_431AC0000000002,○,
法律,昭和四十七年法律第十三号,航空機燃料譲与税法,こうくうきねんりょうじょうよぜいほう,,昭和四十七年四月一日,地方税法等の一部を改正する法律,令和二年法律第五号,令和二年三月三十一日,令和二年四月一日,,347AC0000000013,https://elaws.e-gov.go.jp/document?lawid=347AC0000000013_20200401_502AC0000000005,,
政令,昭和四十七年政令第百六十一号,沖縄の復帰に伴う地方税法の適用の特別措置等に関する政令,おきなわのふっきにともなうちほうぜいほうのてきようのとくべつそちとうにかんするせいれい,,昭和四十七年五月二日,平成２７年８月１日（基準日）現在のデータ,,,,,347CO0000000161,https://elaws.e-gov.go.jp/document?lawid=347CO0000000161_20150801_000000000000000,,
政令,昭和四十七年政令第百六十七号,航空機燃料譲与税法施行令,こうくうきねんりょうじょうよぜいほうせこうれい,,昭和四十七年五月四日,平成２７年８月１日（基準日）現在のデータ,,,,,347CO0000000167,https://elaws.e-gov.go.jp/document?lawid=347CO0000000167_20150801_000000000000000,,
府省令,昭和五十一年自治省令第三十五号,特別交付税に関する省令,とくべつこうふぜいにかんするしょうれい,,昭和五十一年十二月二十四日,特別交付税に関する省令の一部を改正する省令,令和元年総務省令第六十一号,令和元年十二月十一日,令和元年十二月十一日,,351M50000008035,https://elaws.e-gov.go.jp/document?lawid=351M50000008035_20191211_501M60000008061,,
府省令,昭和六十年自治省令第二十号,当せん金付証票法施行規則,とうせんきんつきしょうひょうほうせこうきそく,,昭和六十年六月二十五日,平成２８年１０月１日（基準日）現在のデータ,,,,,360M50000008020,https://elaws.e-gov.go.jp/document?lawid=360M50000008020_20161001_000000000000000,,
府省令,昭和六十三年自治省令第四号,地方財政法第三十二条に規定する事業を定める省令,ちほうざいせいほうだいさんじゅうにじょうにきていするじぎょうをさだめるしょうれい,,昭和六十三年二月五日,地方財政法第三十二条に規定する事業を定める省令の一部を改正する省令,令和元年総務省令第七十号,令和元年十二月二十七日,令和二年四月一日,,363M50000008004,https://elaws.e-gov.go.jp/document?lawid=363M50000008004_20200401_501M60000008070,,
府省令,平成五年建設省令第六号,都市開発資金の貸付けに関する法律施行規則,としかいはつしきんのかしつけにかんするほうりつせこうきそく,,平成五年五月六日,都市再生特別措置法等の一部を改正する法律の施行に伴う国土交通省関係省令の整備に関する省令,平成三十年国土交通省令第五十八号,平成三十年七月十一日,平成三十年七月十五日,,405M50004000006,https://elaws.e-gov.go.jp/document?lawid=405M50004000006_20180715_430M60000800058,,
